,DatGeracaoConjuntoDados,NomAgente,IdeEmpresaProponenteProjeto,DscCodProjeto,DscTituloProjeto,DscTipologia,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,DscObjetivo,DscJustificativa,DatInicioProjeto,DatConclusaoProjeto,DscMetodologiaMv,Score,Address,Latitude,Longitude,Estado,Capital
31,2024-04-01,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S/A.,870,PE-00380-0018/2005,Eficiência Energética em Iluminação Pública - Município de Fundão,Iluminação Pública,3881.0,0.81,110.25,25.0,,Lâmpadas,2004-01-01,2005-12-31,,1.0534385653943639,"EDP - Espírito Santo Distribuição de Energia S. A., 14, Rua Sergipe, Centro, Mucurici, Região Geográfica Imediata de São Mateus, Região Geográfica Intermediária de São Mateus, Espírito Santo, Região Sudeste, 29880-000, Brasil",-18.0946619,-40.5178891,Espírito Santo,
32,2024-04-01,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,3733,PE-00047-0134/2020,EFICIÊNCIA ENERGÉTICA EM HOSPITAIS PARA ENFRENTAMENTO DO COVID-19,Poder Público,50000.0,0.62,1478.28,176.12,"Eficientizar os usos finais iluminação, climatização, refrigeração em hospitais localizados em Salvador/BA e Recife/PE utilizados para o enfrentamento da COVID-19",Projeto de Grande Relevância,2020-04-03,2020-10-21,0,1.0487809318203536,"Companhia de Eletricidade do Estado da Bahia, Avenida Doutor Guilherme Dias, Ginásio Industrial, Brumado, Região Geográfica Intermediária de Vitória da Conquista, Bahia, Região Nordeste, 46100-970, Brasil",-14.207599649999999,-41.669760408092785,Bahia,
33,2024-04-01,COMPANHIA PAULISTA DE FORÇA E LUZ,289,PE-00063-0034/2004,Instalação de Bancos de Capacitores para melhoria do fator de potência,Pelo Lado da Oferta/Perdas,1875187.0,,50000.0,12000.0,,Execução efetuada de forma lenta devido ao local ser uma área de segurança pública e necessitar de acompanhamento direto de funcionário da polícia em conjunto com equipe de execução,2003-01-01,2004-12-31,,1.0487158099548248,"Companhia Paulista de Força e Luz, Avenida Sete de Setembro, Vila Pavani, Nova Granada, Região Imediata de São José do Rio Preto, Região Metropolitana de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15440-000, Brasil",-20.5356207,-49.3242102,São Paulo,
34,2024-04-01,COMPANHIA PAULISTA DE FORÇA E LUZ,289,PE-00063-0034/2004,Instalação de Bancos de Capacitores para melhoria do fator de potência,Pelo Lado da Oferta/Perdas,1875187.0,,48931.17,11800.0,,Execução efetuada de forma lenta devido ao local ser uma área de segurança pública e necessitar de acompanhamento direto de funcionário da polícia em conjunto com equipe de execução,2003-01-01,2004-12-31,,1.0469263589345417,"Companhia Paulista de Força e Luz, Avenida Sete de Setembro, Vila Pavani, Nova Granada, Região Imediata de São José do Rio Preto, Região Metropolitana de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15440-000, Brasil",-20.5356207,-49.3242102,São Paulo,
35,2024-04-01,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S/A.,503,PE-00380-0005/2005,Diagnóstico Energético,Industrial,15139.03,,336.0,87.0,,Foram realizados diagnósticos em 50 empresas do setor industrial.,2004-01-01,2005-12-31,,1.0351691772990577,"EDP - Espírito Santo Distribuição de Energia S. A., 14, Rua Sergipe, Centro, Mucurici, Região Geográfica Imediata de São Mateus, Região Geográfica Intermediária de São Mateus, Espírito Santo, Região Sudeste, 29880-000, Brasil",-18.0946619,-40.5178891,Espírito Santo,
36,2024-04-01,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S/A.,1735,PE-00380-0035/2006,Diagnóstico Energético,Poder Público,18094.95,,362.0,129.0,,,2005-01-01,2006-12-31,,1.0330366253762502,"EDP - Espírito Santo Distribuição de Energia S. A., 14, Rua Sergipe, Centro, Mucurici, Região Geográfica Imediata de São Mateus, Região Geográfica Intermediária de São Mateus, Espírito Santo, Região Sudeste, 29880-000, Brasil",-18.0946619,-40.5178891,Espírito Santo,
37,2024-04-01,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,3731,PE-00047-0133/2020,EFICINCIA ENERGTICA EM HOSPITAIS PARA ENFRENTAMENTO DO COVID-19,Poder Público,50000.0,0.94,1119.43,118.75,"Eficientizar os usos finais iluminao, climatizao, refrigerao em hospitais localizados em Salvador/BA e Recife/PE utilizados para o enfrentamento da COVID-19",Projeto de Grande Relevncia,2020-04-03,2021-04-22,Simulao calibrada da abordagem de medio isolada,1.02676617884199,"Companhia de Eletricidade do Estado da Bahia, Avenida Doutor Guilherme Dias, Ginásio Industrial, Brumado, Região Geográfica Intermediária de Vitória da Conquista, Bahia, Região Nordeste, 46100-970, Brasil",-14.207599649999999,-41.669760408092785,Bahia,
38,2024-04-01,COPEL DISTRIBUIÇÃO S.A,12246,PE-02866-0296/2020,PEE_CP_002_2019_SHOPPING MUELLER,Comércio e Serviços,6741705.92,0.88,164321.0,200.57,"O projeto tem como objetivo a eficientização energética nos sistemas de climatização ambiental no Shopping Center Mueller, de Curitiba-PR.",,2020-01-09,2023-12-29,0,1.0258140063906407,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
39,2024-04-01,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S/A.,1727,PE-00380-0027/2006,Eficientização de Unidade Hospitalar II - Hospital Metropolitano,Comércio e Serviços,14698.0,0.7,288.0,69.0,,,2005-01-01,2006-12-31,,1.025511068295606,"EDP - Espírito Santo Distribuição de Energia S. A., 14, Rua Sergipe, Centro, Mucurici, Região Geográfica Imediata de São Mateus, Região Geográfica Intermediária de São Mateus, Espírito Santo, Região Sudeste, 29880-000, Brasil",-18.0946619,-40.5178891,Espírito Santo,
40,2024-04-01,COMPANHIA ENERGETICA DO CEARA,1454,PE-00039-0032/2005,Eficientização energética em Prédios Públicos,Poder Público,149750.04,,3392.0,240.0,,,2004-01-01,2005-12-31,,1.0254178347603415,"Companhia Energética do Rio Grande do Norte, Rua Heráclio de Araújo Vilar, Santa Águeda, Ceará-Mirim, Região Geográfica Imediata de Natal, Região Geográfica Intermediária de Natal, Rio Grande do Norte, Região Nordeste, 59570-000, Brasil",-5.63498165,-35.4179213689158,Rio Grande do Norte,
41,2024-04-01,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S/A.,503,PE-00380-0005/2005,Diagnóstico Energético,Industrial,15139.03,,235.0,111.0,,Foram realizados diagnósticos em 50 empresas do setor industrial.,2004-01-01,2005-12-31,,1.0217182151143338,"EDP - Espírito Santo Distribuição de Energia S. A., 14, Rua Sergipe, Centro, Mucurici, Região Geográfica Imediata de São Mateus, Região Geográfica Intermediária de São Mateus, Espírito Santo, Região Sudeste, 29880-000, Brasil",-18.0946619,-40.5178891,Espírito Santo,
42,2024-04-01,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,1429,PE-00047-0086/1999,Eficientização da Polystar Indústria e Comércio de Produtos,Industrial,247456.54,,4932.0,530.0,,,1998-01-01,1999-12-31,,1.019649456508417,"Companhia de Eletricidade do Estado da Bahia, Avenida Doutor Guilherme Dias, Ginásio Industrial, Brumado, Região Geográfica Intermediária de Vitória da Conquista, Bahia, Região Nordeste, 46100-970, Brasil",-14.207599649999999,-41.669760408092785,Bahia,
43,2024-04-01,COMPANHIA ENERGÉTICA DE PERNAMBUCO,1093,PE-00043-0029/2004,Projeto de Eficientização das instalações do Prédio da Prefeitura de Recife,Poder Público,89445.93,0.82,1336.32,358.4,,,2003-01-01,2004-12-31,,1.011383215786798,"Companhia Energética de Pernambuco, 111, Avenida João de Barros, Soledade, Recife, Região Geográfica Imediata do Recife, Região Metropolitana do Recife, Pernambuco, Região Nordeste, 50050-315, Brasil",-8.05378155,-34.89064484744516,Pernambuco,Recife
44,2024-04-01,COPEL DISTRIBUICAO S.A.,1538,PE-02866-0144/1999,Faurecia Automotive do Brasil Ltda,Industrial,66490.1,0.12,1103.77,147.41,,,1998-01-01,1999-12-31,,1.0110411944502053,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
45,2024-04-01,COMPANHIA PAULISTA DE FORÇA E LUZ,1589,PE-00063-0088/1999,Diagnóstico e Implementações em Instalações Industriais,Industrial,13467.89,,217.0,36.0,,,1998-01-01,1999-12-31,,1.0109562307920836,"Companhia Paulista de Força e Luz, Avenida Sete de Setembro, Vila Pavani, Nova Granada, Região Imediata de São José do Rio Preto, Região Metropolitana de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15440-000, Brasil",-20.5356207,-49.3242102,São Paulo,
46,2024-04-01,EMPRESA LUZ E FORÇA SANTA MARIA S.A.,317,PE-00381-0007/1999,Eficiência Energética de Lâmpadas em Consumidores de Baixa Renda da Santa Maria,Baixa Renda,91386.0,0.06,938.9,643.08,,O projeto teve por objetivo dotar as instalações da Indústria Ribeiro Chaves S.A.com modernas tecnologias nos sistemas de iluminação e condicionamento de ar,1998-01-01,1999-12-31,,1.0070569088278138,"Empresa Luz e Força Santa Maria S. A., 24, Rua Detroit, Centro, Governador Lindenberg, Região Geográfica Imediata de Colatina, Região Geográfica Intermediária de Colatina, Espírito Santo, Região Sudeste, 29720-000, Brasil",-19.2512465,-40.4593437,Espírito Santo,
47,2024-04-01,EMPRESA LUZ E FORÇA SANTA MARIA S.A.,299,PE-00381-0006/2000,Eficiência Energética de Lâmpadas em Consumidores de Baixa Renda da Santa Maria,Baixa Renda,95054.4,0.05,967.1,662.4,,"O projeto tinha por objetivo dotar as instalações da Indústria Peixoto Gonçalves, com modernas tecnologias nos sistemas de iluminação e condicionamento de ar Projeto cancelado",1999-01-01,2000-12-31,,1.006612214334977,"Empresa Luz e Força Santa Maria S. A., 24, Rua Detroit, Centro, Governador Lindenberg, Região Geográfica Imediata de Colatina, Região Geográfica Intermediária de Colatina, Espírito Santo, Região Sudeste, 29720-000, Brasil",-19.2512465,-40.4593437,Espírito Santo,
48,2024-04-01,EMPRESA LUZ E FORÇA SANTA MARIA S.A.,299,PE-00381-0006/2000,Eficiência Energética de Lâmpadas em Consumidores de Baixa Renda da Santa Maria,Baixa Renda,95054.4,0.06,936.88,641.7,,"O projeto tinha por objetivo dotar as instalações da Indústria Peixoto Gonçalves, com modernas tecnologias nos sistemas de iluminação e condicionamento de ar Projeto cancelado",1999-01-01,2000-12-31,,1.0051955169655933,"Empresa Luz e Força Santa Maria S. A., 24, Rua Detroit, Centro, Governador Lindenberg, Região Geográfica Imediata de Colatina, Região Geográfica Intermediária de Colatina, Espírito Santo, Região Sudeste, 29720-000, Brasil",-19.2512465,-40.4593437,Espírito Santo,
49,2024-04-01,COPEL DISTRIBUICAO S.A.,1538,PE-02866-0144/1999,Faurecia Automotive do Brasil Ltda,Industrial,66490.1,0.15,973.59,130.02,,,1998-01-01,1999-12-31,,1.0051716825310957,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
50,2024-04-01,COPEL DISTRIBUICAO S.A.,726,PE-02866-0095/2004,Substituição de Lâmpadas em Unidades Consumidoras Residenciais Classificadas como Baixa Renda,Residencial,1098803.08,,11826.0,4536.0,,Projeto em andamento,2003-01-01,2004-12-31,,1.0006563894635434,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
