NomAgente,DscTipologia,DatInicioProjeto,DatConclusaoProjeto,UF,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,Score
Companhia Paulista de Força e Luz,Poder Público,2009-09-18,2011-01-30,São Paulo,0.0,0.63,1373.72,505.99,0.0
Companhia Paulista de Força e Luz,Poder Público,2009-09-22,2011-01-30,São Paulo,0.0,0.72,985.97,394.63,0.0
Companhia Paulista de Força e Luz,Poder Público,2009-09-24,2011-01-30,São Paulo,0.0,0.48,2382.09,397.78,0.0
Companhia Paulista de Força e Luz,Poder Público,2009-10-19,2011-01-30,São Paulo,0.0,0.75,1100.06,283.19,0.0
Companhia Paulista de Força e Luz,Poder Público,2009-11-09,2011-05-31,São Paulo,0.0,0.74,468.12,183.98,0.0
Companhia Paulista de Força e Luz,Poder Público,2009-12-06,2011-05-31,São Paulo,0.0,0.69,369.26,89.58,0.0
Companhia Paulista de Força e Luz,Poder Público,2010-01-18,2011-07-31,São Paulo,0.0,0.75,1933.65,629.89,0.0
Companhia Paulista de Força e Luz,Poder Público,2010-03-17,2012-09-30,São Paulo,0.0,0.6,2223.13,779.82,0.0
Companhia Paulista de Força e Luz,Poder Público,2010-05-19,2012-05-30,São Paulo,0.0,0.64,1263.73,467.06,0.0
Companhia Paulista de Força e Luz,Poder Público,2010-07-16,2013-01-31,São Paulo,0.0,0.68,1689.0,603.94,0.0
Companhia Paulista de Força e Luz,Poder Público,2010-08-10,2012-07-31,São Paulo,0.0,0.59,3081.08,705.87,0.0
Companhia Paulista de Força e Luz,Poder Público,2010-09-22,2012-09-30,São Paulo,0.0,0.78,613.14,95.72,0.0
Companhia Paulista de Força e Luz,Poder Público,2010-10-21,2012-09-30,São Paulo,0.0,0.54,600.4,85.39,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-05-01,2014-09-01,São Paulo,0.0,0.48,558.82,209.26,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-06-08,2013-09-30,São Paulo,0.0,1.2,312.12,70.45,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-07-01,2013-09-30,São Paulo,0.0,1.38,291.19,68.92,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-07-05,2013-09-30,São Paulo,0.0,1.29,403.16999999999996,78.41,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-07-08,2013-09-30,São Paulo,0.0,0.72,411.39,110.7,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-07-29,2013-11-30,São Paulo,0.0,0.73,418.12,117.81,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-08-08,2013-11-30,São Paulo,0.0,1.43,348.69,95.8,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-08-24,2013-11-30,São Paulo,0.0,0.52,479.62,102.57,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-08-26,2013-11-30,São Paulo,0.0,0.47,603.44,85.64,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-10-01,2014-11-01,São Paulo,0.0,0.61,251.72,91.42,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-10-13,2014-01-29,São Paulo,0.0,0.69,209.36,84.37,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-11-07,2014-04-30,São Paulo,0.0,0.62,1248.57,212.14,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-11-11,2014-11-04,São Paulo,0.0,0.56,352.92,117.2,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-11-23,2014-09-15,São Paulo,0.0,0.74,204.79,46.03,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-11-23,2014-11-04,São Paulo,0.0,0.43,92.99,29.84,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-11-24,2014-07-31,São Paulo,0.0,0.58,707.69,82.31,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-12-01,2014-07-01,São Paulo,0.0,1.1600000000000001,233.26999999999998,69.12,0.0
Companhia Paulista de Força e Luz,Poder Público,2011-12-19,2014-07-31,São Paulo,0.0,0.92,1215.76,354.78,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-02-01,2014-07-01,São Paulo,0.0,0.77,380.11,114.56,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-02-01,2014-09-01,São Paulo,0.0,0.67,169.77,20.45,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-03-01,2014-07-01,São Paulo,0.0,0.29,1242.41,156.68,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-04-17,2014-11-04,São Paulo,0.0,0.8,191.59,41.74,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-05-11,2014-11-04,São Paulo,0.0,0.74,531.37,75.48,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-06-22,2014-07-31,São Paulo,0.0,1.28,154.99,38.95,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-07-19,2014-07-31,São Paulo,0.0,0.43,261.9,25.16,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-08-24,2014-09-15,São Paulo,0.0,0.67,102.85,20.34,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-08-24,2014-12-16,São Paulo,0.0,0.43,697.99,126.76,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-09-24,2014-07-31,São Paulo,0.0,1.1400000000000001,643.99,87.4,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-09-24,2014-11-05,São Paulo,0.0,0.56,785.02,205.79,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-10-24,2014-12-16,São Paulo,0.0,0.49,460.96,80.4,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-11-26,2014-07-29,São Paulo,0.0,0.69,77.36,11.33,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-11-26,2014-07-31,São Paulo,0.0,0.69,198.85,32.75,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-11-26,2014-11-04,São Paulo,0.0,0.73,351.5,51.15,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-12-19,2016-02-16,São Paulo,0.0,0.6,939.8,244.32,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-12-19,2016-07-27,São Paulo,0.0,0.76,1074.49,119.63,0.0
Companhia Paulista de Força e Luz,Poder Público,2012-12-19,2018-12-21,São Paulo,0.0,79.88,560.55,199.0,0.0
Companhia Paulista de Força e Luz,Poder Público,2013-11-26,2015-05-31,São Paulo,0.0,0.78,1748.17,166.28,0.0
Companhia Paulista de Força e Luz,Poder Público,2013-11-26,2015-07-30,São Paulo,0.0,0.66,3827.69,436.95,0.0
Companhia Paulista de Força e Luz,Poder Público,2013-12-09,2015-09-08,São Paulo,0.0,0.75,676.77,156.66,0.0
Companhia Paulista de Força e Luz,Poder Público,2013-12-19,2015-12-09,São Paulo,0.0,0.67,2497.78,588.02,0.0
Companhia Paulista de Força e Luz,Poder Público,2014-10-07,2017-10-24,São Paulo,0.0,0.34,1517.46,173.23,0.0
Companhia Paulista de Força e Luz,Poder Público,2014-12-12,2015-05-25,São Paulo,0.0,0.73,21.96,2.11,0.0
Companhia Paulista de Força e Luz,Poder Público,2015-02-01,2017-01-01,São Paulo,0.0,0.73,887.77,91.91,0.0
Companhia Paulista de Força e Luz,Poder Público,2015-02-01,2017-03-01,São Paulo,0.0,0.56,2312.02,325.65,0.0
Companhia Paulista de Força e Luz,Poder Público,2015-11-24,2018-02-19,São Paulo,0.0,0.45,3070.34,406.99,0.0
Companhia Paulista de Força e Luz,Poder Público,2016-01-15,2017-08-09,São Paulo,0.0,0.48,536.56,123.88,0.0
Companhia Paulista de Força e Luz,Poder Público,2016-12-07,2017-07-26,São Paulo,0.0,0.41,1088.45,161.1,0.0
Companhia Paulista de Força e Luz,Poder Público,2016-12-20,2017-11-06,São Paulo,0.0,0.52,108.94,13.91,0.0
Companhia Paulista de Força e Luz,Poder Público,2017-01-26,2018-01-26,São Paulo,0.0,0.6,41.17,4.39,0.0
Companhia Paulista de Força e Luz,Poder Público,2017-05-24,2017-11-20,São Paulo,0.0,0.36,129.58,15.65,0.0
Companhia Paulista de Força e Luz,Poder Público,2017-05-25,2017-10-31,São Paulo,0.0,0.52,136.8,0.0,0.0
Companhia Paulista de Força e Luz,Poder Público,2017-07-26,2018-07-26,São Paulo,0.0,0.39,333.92,33.36,0.0
Companhia Paulista de Força e Luz,Poder Público,2017-12-19,2018-06-20,São Paulo,0.0,0.32,414.24,41.48,0.0
Companhia Paulista de Força e Luz,Poder Público,2018-05-24,2018-12-24,São Paulo,0.0,0.6,114.58,32.69,0.0
Companhia Paulista de Força e Luz,Poder Público,2018-05-29,2020-04-24,São Paulo,0.0,0.53,921.99,212.17,0.0
Companhia Paulista de Força e Luz,Poder Público,2018-06-13,2022-09-10,São Paulo,0.0,0.51,1184.61,94.0,0.013635580289328838
Companhia Paulista de Força e Luz,Poder Público,2018-07-26,2019-07-26,São Paulo,0.0,0.27,8.06,0.0,0.0
Companhia Paulista de Força e Luz,Poder Público,2019-03-06,2020-11-24,São Paulo,0.0,0.74,108.24,45.3,0.0
Companhia Paulista de Força e Luz,Poder Público,2019-03-07,2019-12-31,São Paulo,0.0,0.55,152.27,35.15,0.0
Companhia Paulista de Força e Luz,Poder Público,2019-03-07,2020-12-23,São Paulo,0.0,0.71,125.44,19.6,0.0
Companhia Paulista de Força e Luz,Poder Público,2019-03-27,2021-04-09,São Paulo,0.0,0.79,128.63,13.68,0.0015176476259175099
Companhia Paulista de Força e Luz,Poder Público,2019-03-27,2021-07-10,São Paulo,0.0,0.68,510.53,67.59,0.006165290179856868
Companhia Paulista de Força e Luz,Poder Público,2019-03-27,2021-07-30,São Paulo,0.0,0.57,834.57,124.67,0.010229697903767213
Companhia Paulista de Força e Luz,Poder Público,2019-04-25,2020-04-25,São Paulo,0.0,0.27,795.68,119.85,0.0
Companhia Paulista de Força e Luz,Poder Público,2019-05-10,2020-12-23,São Paulo,0.0,0.55,340.98,52.22,0.0
Companhia Paulista de Força e Luz,Poder Público,2019-10-21,2022-04-29,São Paulo,0.0,0.49,901.99,85.31,0.0
Companhia Paulista de Força e Luz,Poder Público,2019-12-18,2022-01-31,São Paulo,0.0,0.64,598.98,155.7,0.008048192750526501
Companhia Paulista de Força e Luz,Poder Público,2019-12-18,2022-03-07,São Paulo,0.0,0.44,774.01,232.33,0.010731990105163564
Companhia Paulista de Força e Luz,Poder Público,2020-12-18,2023-07-10,São Paulo,509455.03,0.77,153.79,4.1,3.305097608539543e-11
Companhia Paulista de Força e Luz,Poder Público,2022-12-06,2025-02-10,São Paulo,5765270.6,0.89,1745.13,0.0,3.22807499405149e-11
Companhia Paulista de Força e Luz,Poder Público,2022-12-28,2025-01-10,São Paulo,505496.02,0.76,96.82,0.0,2.0425977885899436e-11
Companhia Paulista de Força e Luz,Poder Público,2022-12-29,2025-01-10,São Paulo,922800.0,0.92,211.23,23.12,2.708275840114526e-11
Companhia Paulista de Força e Luz,Poder Público,2023-01-20,2025-01-10,São Paulo,521309.12,0.53,179.77,27.01,4.2300814341913016e-11
Companhia Paulista de Força e Luz,Poder Público,2024-02-08,2026-04-10,São Paulo,272726.98,0.69,70.64,0.0,2.762218943988774e-11
Companhia Paulista de Força e Luz,Projeto Piloto,2014-08-25,2016-05-06,São Paulo,0.0,0.36,630.1,0.0,0.0
Companhia Paulista de Força e Luz,Residencial,2015-11-13,2018-05-21,São Paulo,0.0,0.34,5350.5,1650.17,0.0
Companhia Paulista de Força e Luz,Residencial,2018-06-13,2021-11-11,São Paulo,0.0,0.73,1043.44,2.95,0.011159098442019698
Companhia Paulista de Força e Luz,Residencial,2019-11-11,2022-06-30,São Paulo,0.0,0.31,758.21,1.0,0.008096502382635321
Companhia Paulista de Força e Luz,Serviços Públicos,2008-03-01,2009-11-30,São Paulo,0.0,0.53,15983.22,4090.6,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2009-01-01,2010-06-30,São Paulo,0.0,0.48,5909.49,654.45,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2009-02-01,2010-07-30,São Paulo,0.0,0.63,795.83,201.7,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2009-08-10,2011-01-31,São Paulo,0.0,0.52,60.0,45.0,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2009-09-24,2011-01-31,São Paulo,0.0,0.35,2628.54,353.91,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2009-12-16,2011-06-30,São Paulo,0.0,0.41,3704.48,972.3,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2010-01-13,2011-06-30,São Paulo,0.0,0.47,1663.34,312.76,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2010-09-22,2012-09-30,São Paulo,0.0,0.46,249.85,933.77,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2011-12-01,2014-07-01,São Paulo,0.0,0.35,63.18,23.98,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2013-05-18,2015-03-24,São Paulo,0.0,0.49,1511.37,441.22,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2013-09-20,2014-09-15,São Paulo,0.0,0.54,565.27,132.0,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2013-09-24,2015-04-12,São Paulo,0.0,0.26,1846.64,222.42,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2013-10-11,2014-09-30,São Paulo,0.0,0.15,879.4,108.18,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2013-11-18,2015-07-30,São Paulo,0.0,0.69,292.92,171.15,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2013-12-13,2015-06-01,São Paulo,0.0,0.55,213.76,482.29,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2014-12-15,2015-11-24,São Paulo,0.0,0.56,331.02,215.4,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2017-01-26,2018-03-26,São Paulo,0.0,0.65,187.36,70.67,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2017-02-02,2019-08-13,São Paulo,0.0,0.65,695.89,89.65,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2017-04-18,2018-09-19,São Paulo,0.0,0.79,431.18,34.62,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2017-04-27,2018-07-25,São Paulo,0.0,0.8,119.45,114.83,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2017-05-17,2018-05-17,São Paulo,0.0,0.53,4215.08,86.4,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2018-03-01,2019-07-26,São Paulo,0.0,0.75,129.3,137.5,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2018-05-21,2019-03-30,São Paulo,0.0,0.68,606.78,39.79,0.0
Companhia Paulista de Força e Luz,Serviços Públicos,2020-04-01,2021-12-10,São Paulo,883980.96,0.33,741.74,45.93,9.502478971988419e-11
Companhia Paulista de Força e Luz,Serviços Públicos,2020-12-18,2025-01-10,São Paulo,1599106.59,0.82,471.65,25.37,3.314606498525885e-11
Companhia Paulista de Força e Luz,Serviços Públicos,2022-12-23,2025-02-10,São Paulo,1646499.96,1.57,474.65,60.0,6.51684766596108e-11
Companhia de Eletricidade da Coelba,Residencial,2013-01-02,2014-02-28,Bahia,0.0,0.61,821.25,450.0,0.0
Companhia de Eletricidade da Coelba,Residencial,2013-01-02,2014-06-30,Bahia,0.0,0.61,821.25,450.0,0.0
Companhia de Eletricidade do Estado da Bahia,Aquecimento Solar,2006-01-01,2007-12-31,Bahia,1882380.92,1.77,196.61,455.25,3.866224383099523e-10
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,1998-01-01,1999-12-31,Bahia,1944037.08,0.9500000000000001,4976.0,1796.0,7.429813707815071e-10
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,1999-01-01,2000-12-31,Bahia,1823292.04,0.96,2773.2799999999997,1056.48,4.480029172488832e-10
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2005-01-01,2006-12-31,Bahia,18785836.7,1.15,15717.17,4510.07,2.296527276794787e-10
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2017-09-20,2019-09-18,Bahia,0.0,0.58,23116.39,452.18,0.0
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2019-08-13,2022-03-04,Bahia,0.0,0.63,12831.54,1780.45,0.0
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2020-01-08,2022-06-30,Bahia,8684395.59,0.36,5122.95,1413.66,8.026912033463551e-11
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2020-01-15,2021-03-01,Bahia,0.0,0.54,837.28,318.6,0.0
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2020-04-17,2024-09-30,Bahia,29680401.21,0.61,10081.65,2685.63,4.587373947241027e-11
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2020-04-27,2023-12-31,Bahia,8993598.62,0.6,21437.88,5352.64,3.176750959024757e-10
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2021-12-29,2022-09-28,Bahia,5121077.28,0.66,1123.4,239.36,2.8378770463224986e-11
Companhia de Eletricidade do Estado da Bahia,Baixa Renda,2023-09-04,2026-06-30,Bahia,38688228.05,0.94,21945.89,4304.54,7.235909238560893e-11
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,1998-01-01,1999-12-31,Bahia,2080812.2,0.0,5134.0,896.0,1.4445917772192878e-09
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,1999-01-01,2000-12-31,Bahia,2512840.0,0.0,2730.0,570.0,2.8010097699408233e-10
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2003-01-01,2004-12-31,Bahia,94450.0,0.0,158.3,270.8,9.689959997682983e-10
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2004-01-01,2005-12-31,Bahia,8039944.84,3.49,10298.539999999999,1734.6899999999998,1.4143843616761486e-09
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2005-01-01,2006-12-31,Bahia,182604.82,1.58,167.1,41.519999999999996,2.4367399327570056e-10
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2010-07-13,2011-06-13,Bahia,0.0,0.79,779.77,135.55,0.0
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2015-12-30,2016-12-30,Bahia,0.0,0.5,2206.94,206.24,0.0
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2017-06-20,2018-10-24,Bahia,0.0,0.42,413.35,27.94,0.0
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2018-07-03,2020-10-31,Bahia,0.0,0.41,640.07,78.86,0.0
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2018-07-14,2019-10-29,Bahia,0.0,0.59,886.4,77.56,0.0
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2018-08-02,2019-11-07,Bahia,0.0,0.45,225.06,35.72,0.0
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2020-04-17,2024-06-30,Bahia,14808675.35,0.79,5407.4,693.66,4.393641439738152e-11
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2023-10-31,2025-12-31,Bahia,204853.74,0.57,36.11,0.6,1.911067356621896e-11
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2023-11-17,2026-01-17,Bahia,651624.37,0.57,140.64,2.39,2.3408055696761464e-11
Companhia de Eletricidade do Estado da Bahia,Comércio e Serviços,2023-11-24,2026-06-30,Bahia,2238148.64,0.58,869.34,60.27,4.4294253579355946e-11
Companhia de Eletricidade do Estado da Bahia,Educacional,1998-01-01,1999-12-31,Bahia,2394139.53,0.0,356.88,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2000-01-01,2001-12-31,Bahia,1175244.0,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2015-03-23,2016-04-25,Bahia,0.0,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2019-01-11,2020-11-30,Bahia,0.0,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2020-01-31,2023-12-29,Bahia,6290943.21,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2020-04-22,2024-12-31,Bahia,11841437.71,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2020-12-10,2022-03-31,Bahia,794834.3,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2022-03-29,2024-06-22,Bahia,1062264.12,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2022-07-29,2023-07-18,Bahia,370021.55,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Educacional,2023-04-20,2026-06-30,Bahia,3532120.78,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Gestão Energética Municipal,2000-01-01,2001-12-31,Bahia,61870.96,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Gestão Energética Municipal,2001-01-01,2002-12-31,Bahia,61402.71,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Gestão Energética Municipal,2003-01-01,2004-12-31,Bahia,59751.52,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Gestão Energética Municipal,2004-01-01,2005-12-31,Bahia,370665.16,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Gestão Energética Municipal,2005-01-01,2006-12-31,Bahia,88182.18,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,1998-01-01,1999-12-31,Bahia,10095986.0,1.59,20958.0,4749.0,7.546926546880781e-10
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2020-01-06,2024-07-31,Bahia,4769390.07,0.74,2063.55,462.71,5.648728870035655e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2020-01-31,2021-11-04,Bahia,725677.77,0.24,594.35,135.11,1.0719960501827065e-10
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2020-04-17,2024-05-30,Bahia,17707681.77,0.74,6382.34,1442.12,4.7122486005378853e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2020-12-23,2022-05-09,Bahia,1408867.26,0.38,672.7,157.65,6.285309069551201e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2020-12-31,2022-04-08,Bahia,682638.16,0.68,196.8,47.0,3.808716620634006e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2021-10-01,2022-09-08,Bahia,499017.64,0.34,280.54,66.81,7.423127579903691e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2021-10-01,2022-09-29,Bahia,519886.08,0.48,218.88,51.92,5.5548967439776934e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2021-10-01,2022-11-18,Bahia,874826.21,0.52,335.08,71.09,4.9513266663772056e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2022-12-05,2023-11-07,Bahia,667955.85,0.21,323.73,77.28,6.402402400235401e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2022-12-05,2023-11-14,Bahia,515873.1,0.2,255.49,61.04,6.543460953385534e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2022-12-05,2023-12-11,Bahia,949026.98,0.25,388.0,92.49,5.3993479792384075e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2022-12-14,2023-11-07,Bahia,871671.66,0.26,335.82,80.23,5.09012119857901e-11
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2023-08-25,2024-08-25,Bahia,347324.32,0.08,358.12,85.56,1.3622918982950974e-10
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2023-09-06,2024-12-31,Bahia,648205.07,0.08,718.57,173.27,1.4672700235559448e-10
Companhia de Eletricidade do Estado da Bahia,Iluminação Pública,2023-09-11,2024-12-31,Bahia,454372.3,0.09,427.62,97.56,1.232627492471658e-10
Companhia de Eletricidade do Estado da Bahia,Industrial,1998-01-01,1999-12-31,Bahia,2205272.48,0.0,12541.32,1149.35,4.836457549860516e-09
Companhia de Eletricidade do Estado da Bahia,Industrial,1999-01-01,2000-12-31,Bahia,520000.0,0.0,25300.0,2730.0,1.14970193235588e-08
Companhia de Eletricidade do Estado da Bahia,Industrial,2000-01-01,2001-12-31,Bahia,1656589.64,0.56,1805.0,196.0,2.622485250778302e-10
Companhia de Eletricidade do Estado da Bahia,Industrial,2001-01-01,2002-12-31,Bahia,2673230.3,1.5899999999999999,5739.28,680.84,1.045413288445659e-09
Companhia de Eletricidade do Estado da Bahia,Industrial,2004-01-01,2005-12-31,Bahia,1291999.3,0.0,653.0,68.0,1.19025085883254e-10
Companhia de Eletricidade do Estado da Bahia,Industrial,2005-01-01,2006-12-31,Bahia,661857.78,1.2,505.0,179.0,2.204230128312609e-10
Companhia de Eletricidade do Estado da Bahia,Industrial,2006-01-01,2007-12-31,Bahia,1245163.78,1.44,1405.1,168.73000000000002,2.69585703462033e-10
Companhia de Eletricidade do Estado da Bahia,Industrial,2019-09-16,2021-03-16,Bahia,0.0,0.14,7172.76,841.31,0.08546507138947887
Companhia de Eletricidade do Estado da Bahia,Marketing,1999-01-01,2000-12-31,Bahia,369674.54,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Marketing,2000-01-01,2001-12-31,Bahia,263923.91,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Marketing,2001-01-01,2002-12-31,Bahia,56932.69,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Marketing,2003-01-01,2004-12-31,Bahia,20720.02,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Marketing,2004-01-01,2005-12-31,Bahia,129774.42,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Marketing,2005-01-01,2006-12-31,Bahia,206917.88,0.0,0.0,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Pelo Lado da Oferta/Fator de Carga,1998-01-01,1999-12-31,Bahia,0.0,0.41,0.0,800.0,0.00853150235917369
Companhia de Eletricidade do Estado da Bahia,Pelo Lado da Oferta/Fator de Carga,1999-01-01,2000-12-31,Bahia,2099048.34,0.0,0.0,3534.0,1.2722296032729867e-09
Companhia de Eletricidade do Estado da Bahia,Poder Público,2003-01-01,2004-12-31,Bahia,2136389.02,3.56,5241.389999999999,549.35,3.192442885415627e-09
Companhia de Eletricidade do Estado da Bahia,Poder Público,2004-01-01,2005-12-31,Bahia,1288538.98,6.390000000000001,1349.16,310.5,1.4285767179224634e-09
Companhia de Eletricidade do Estado da Bahia,Poder Público,2009-10-01,2010-12-31,Bahia,0.0,0.65,664.24,75.83,0.0
Companhia de Eletricidade do Estado da Bahia,Poder Público,2010-06-10,2011-05-10,Bahia,0.0,1.16,330.6,37.74,0.0
Companhia de Eletricidade do Estado da Bahia,Poder Público,2018-03-28,2018-10-23,Bahia,0.0,0.44,144.9,19.8,0.0
Companhia de Eletricidade do Estado da Bahia,Poder Público,2018-05-17,2019-10-07,Bahia,0.0,0.74,271.88,0.0,0.0
Companhia de Eletricidade do Estado da Bahia,Poder Público,2018-08-02,2019-11-12,Bahia,0.0,0.29,4902.98,738.7,0.0
Companhia de Eletricidade do Estado da Bahia,Poder Público,2019-07-10,2020-11-26,Bahia,0.0,0.31,6789.91,1333.22,0.0
Companhia de Eletricidade do Estado da Bahia,Poder Público,2020-01-07,2021-08-24,Bahia,860668.89,0.76,442.6,80.6,6.482867619475495e-11
Companhia de Eletricidade do Estado da Bahia,Poder Público,2020-03-16,2021-08-24,Bahia,286318.44,0.39,142.02,41.26,6.826549914917088e-11
