,DatGeracaoConjuntoDados,NomAgente,IdeEmpresaProponenteProjeto,DscCodProjeto,DscTituloProjeto,DscTipologia,VlrCustoTotal,VlrRcbGlobal,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,DscObjetivo,DscJustificativa,DatInicioProjeto,DatConclusaoProjeto,DscMetodologiaMv,Score,Address,Latitude,Longitude,Estado,Capital
90,2024-04-01,COPEL DISTRIBUIÇÃO SA,10603,PE-02866-0226/2018,PEE_CP_003_2017 COAPROCOR - Cooperativa Agroindustrial,Industrial,0.0,0.53,252.49,0.75,"O projeto tem como objetivo a eficientização energética nos sistemas de Iluminação da COAPROCOR (COOPERATIVA AGROINDUSTRIAL DE PRODUTORES DE CORUMBATAI DO SUL E REGIAO) e instalação de Fonte geradora solar fotovoltaica. Com isto, será possível promover o uso racional e eficiente de energia.","Obteremos redução da demanda no horário de ponta (kW) e economia de energia (MWh/ano) em função da redução de consumo (kW/h). Isto possibilitará a COPEL atender novos consumidores sem investimentos adicionais, otimizando o uso do sistema elétrico, preservando o meio ambiente e contribuindo para a sustentabilidade.",2018-01-09,2023-03-20,"Iluminação: Mensuração da potencia ativa dos equipamentos de iluminação e estimativa do tempo de utilização dos ambientes tipicos, conforme permite a opção A do PIMVPGeração distribuída: Está previsto tempo de 12 meses para acompanhamento do projeto.",1.0010296428069667,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
91,2024-04-01,COPEL DISTRIBUIÇÃO SA,8550,PE-02866-0178/2017,PEE CP 001/2016 Condominio Flex Accanto,Residencial,0.0,0.56,213.04,39.3,"O projeto teve como objetivo a eficientização energética no sistema de iluminação do Condominio Fléx Accanto. Com isto, poderemos promover o uso racional e eficiente de energia elétrica naquela unidade consumidora.","Obteremos redução da demanda no horário de ponta (kW) e economia de energia (MWh/ano) em função da redução de consumo (kW/h). Isto possibilitará a COPEL atender novos consumidores sem investimentos adicionais, otimizando o uso do sistema elétrico, preservando o meio ambiente e contribuindo para a sustentabilidade.",2017-09-11,2021-08-30,"A avaliação se dará pela opção A do protocolo, sendo que serão medidas a potência ativa de cada grupo de luminárias e conforme essa opção  o tempo de  utilização de cada ambiente tipico será estimado e o resultado será extrapolado para todo o universo de luminárias. Para a fonte incentivada será monitorado o consumo de energia, sendo o periodo de avaliação de 12 meses.",1.000943037337222,"Copel Distribuição S.A., Rua Vicente Machado, Guarapuava, Região Geográfica Imediata de Guarapuava, Região Geográfica Intermediária de Guarapuava, Paraná, Região Sul, 85010-050, Brasil",-25.38696195,-51.474271,Paraná,Guarapuava
92,2024-04-01,CELESC DISTRIBUIÇÃO SA,8683,PE-05697-0051/2018,Educação + Eficiente - Unoesc Joaçaba,Comércio e Serviços,0.0,0.63,204.02,38.52,O objetivo do presente diagnóstico energético é apresentar possibilidades de melhorar o aproveitamento energético do uso final iluminação e o aproveitamento da energia solar nas dependências da UNOESC,"Iluminação: será realizada a medição de parâmetros-chave, neste caso, a potência de energia elétrica, e estimadas as horas de utilização do sistema de iluminação com base nas medições de horímetro ou medidor de grandezas elétricas, para então, calcular o consumo de energia elétrica antes e após a implantação da ação de eficiência energética. Fotovoltaico: Medição da energia gerada pelo sistema fotovoltaico a partir do sistema de aquisição de dados presente no inversor do sistema fotovoltaico. Esta medição representa todos os dados para a determinação da energia gerada pelo sistema. Os dados relacionados a variável independente serão adquiridos a partir de estações solarimétrica próxima ao local que disponibilizam seus dados, ex.: estações do INMET  Instituto Nacional de Meteorologia.",2018-06-26,2022-08-22,"Opção A do PIMVP para Iluminação, Opção B do PIMVP o sistema fotovoltaico",1.0,"Celesc Distribuição S.A., 2987, Jardim América, Chapecó, Região Geográfica Imediata de Chapecó, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, 89803-903, Brasil",-27.09851365,-52.64486742525156,Santa Catarina,Chapecó
94,2024-04-01,CEMIG DISTRIBUIÇÃO SA,11671,PE-04950-0112/2018,Cemig Hospitais,Comércio e Serviços,0.0,0.4,35306.44,9144.42,Reduzir o consumo e as perdas não técnicas de energia elétrica no setor hospitalar,"Serão realizadas medições individuais de potência elétrica de grupos homogêneos de equipamentos de iluminação predial. Nos focos cirúrgicos, será também medida a potência e estimado o tempo, através de utilização de horímetros e laudos de cirurgias, visando cálculo de Fator de Coincidência na Ponta. Serão realizadas medições individuais de potência elétrica e de tempo de utilização com a utilização de Medidores com memória de massa. O tempo em que serão realizadas as medições será entre uma semana (autoclaves, secadoras) e um mês (aquecimento solar e geração fotovoltaica).",2018-01-08,2023-09-20,"Opção A do PIMV, com amostragem estatística para os usos finais iluminação e foco cirúrgico. Opção B do PIMV, com medição total, para os usos finais autoclaves, secadoras, aquecimento de água e geração fotovoltaica",5.254091466923446,,,,MINAS GERAIS,BELO HORIZONTE
95,2024-04-01,CEMIG DISTRIBUIÇÃO SA,8298,PE-04950-0109/2017,Energia Cidadã RMBH,Baixa Renda,0.0,0.37,16012.24,4048.52,Reduzir o consumo e as perdas não técnicas de energia elétrica,Estaremos realizando medições individuais de um grupo do clientes que possuem a mesma característica de consumo,2017-09-15,2021-08-31,"Opção A do PIMVP, com amostragem estatística",2.9070736140077607,,,,MINAS GERAIS,BELO HORIZONTE
96,2024-04-01,CEMIG DISTRIBUIÇÃO SA,8610,PE-04950-0139/2018,Energia Cidadã Interior II,Baixa Renda,0.0,0.37,11590.07,2134.69,Reduzir o consumo e as perdas não técnicas de energia elétrica,Estaremos realizando medições individuais de um grupo do clientes que possuem a mesma característica de consumo,2018-06-18,2021-12-18,"Opção A do PIMVP, com amostragem estatística para iluminação e opção B do PIMVP para refrigeração e aquecimento solar.",2.2973711070039444,,,,MINAS GERAIS,BELO HORIZONTE
100,2024-04-01,COMPANHIA ENERGETICA DE ALAGOAS,12014,PE-00044-0020/2019,Bonus Eficiente 2019-2020,Residencial,0.0,0.24,4237.38,1643.59,"Incentivar a substituicao de lampadas, refrigeradores e condicionadores de ar antigos e ineficentes por aparelhos reconhecidamente eficientes, com selo Procel, por seus clientes residenciais, visando a reducao do consumo de energia e retirada de demanda na ponta do sistema.",nao se aplica,2019-12-13,2023-08-31,"Iluminacao: Opcao A,  Medicao do consumo e estimativa do tempo de uso e Refrigeracao: Opcao B, Medicao de todos os parametros, ambos de acordo com o Volume I do PIMVP, EVO 10000-1:2012 e Guia de Medicao e Verificacao para o Programa de Eficiencia Energetica Regulado pela Aneel.",1.5425765319705695,,,,ALAGOAS,MACEIÓ
102,2024-04-01,COMPANHIA ENERGETICA DE ALAGOAS,9040,PE-00044-0016/2019,Inclusao e disseminacao da eficiencia energetica atraves de acoes educativas para estimular o consumo racional.,Baixa Renda,0.0,0.45,3897.37,1516.35,"O projeto Comunidade Eficiente teve como objetivo reduzir o consumo de energia e a demanda no horário de ponta do sistema elétrico por meio da substituição de refrigeradores ineficientes por refrigeradores energeticamente eficientes e de lâmpadas ineficientes e em funcionamento nas unidades consumidoras, além de efetuar cadastros de consumidores na Tarifa Social e no CADÚNICO, bem como ações educativas.",nao se aplica,2019-09-10,2021-11-30,"luminacao opcao A,  Medicao do consumo e estimativa do tempo de uso, Refrigeracao: Opcao B,  Medicao de Todos parametros, ambas de acordo com o Volume I do PIMVP, EVO 10000-1:2012 e Guia de Medicao e Verificacao para o Programa de Eficiencia Energetica Regulado pela Aneel. Para opcao B, o periodo da linha de base sera de uma semana, onde vai medir o consumo a temperatura media interna.",1.4976138589280295,,,,ALAGOAS,MACEIÓ
103,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA SA,8715,PE-00396-0117/2019,PROJETO HOSPITAIS PH-RGE-I,Poder Público,0.0,0.42,4895.31,314.53,"Substituição de 12.000 lâmpadas ineficientes do tipo fluorescentes compactas, fluorescentes tubulares, vapor metálico por outras 12.000 lâmpadas eficientes utilizando tecnologia LED nestas entidades. Adicionalmente serão instalados sistemas de GD em 23 hospitais totalizando 1.334kWp",,2019-10-29,2023-11-10,Será adotado a metodologia A de medição e verificação de performance conforme PIMVP. Adicionalmente para o sistema de GD serão medido por um ano a produção de energia,1.4779948331818273,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
104,2024-04-01,ENERGISA MATO GROSSO DO SUL  DISTRIBUIDORA DE ENERGIA SA,9109,PE-00404-0103/2019,Projeto de Eficiência Energética Nossa Energia 2019-2021,Baixa Renda,0.0,0.43,3385.8,1770.61,"Eficientização dos sistemas de iluminação e refrigeração, através da substituição de lâmpadas incandescentes e/ou fluorescentes compactas por lâmpadas LED e refrigeradores velhos por refrigeradores eficientes , ambos com Selo Procel de Economia de Energia, de residências de clientes tipo baixa renda localizadas em 74 municípios da área de concessão da concessionária.",,2019-03-15,2022-10-31,"A proposta de avaliação dos resultados será baseada no Protocolo Internacional para Medição e Verificação de Performance  PIMVP. O objetivo é garantir que a economia prevista, em termos de energia economizada (kWh/mês) e demanda evitada (kW) sejam atingidas com precisão. Para a realização do plano de Medição e Verificação da unidade consumidora em questão, serão utilizadas as Opção B  Medição isolada de todos os parâmetros e Opção A  Medição isolada de parâmetros chave.",1.4728533551279739,,,,MATO GROSSO,CUIABÁ
108,2024-04-01,RGE SUL DISTRIBUIDORA DE ENERGIA SA,8545,PE-00396-0118/2019,Bônus Refrigerador Inverter RGE,Residencial,0.0,0.53,3717.9,637.5,"Reduzir o desperdício de energia elétrica em residências, por meio de implementação de projeto de eficiência energética, promovendo a tecnologia Inverter",Cumprir metas regulatórias e promover a eficiência energética,2019-11-25,2023-01-10,A-Medição Parcial de Retrofit isolado,1.395773524772051,,,,RIO GRANDE DO SUL,CAXIAS DO SUL
