NomAgente,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,VlrCustoTotal,Score
Cooperativa  de eletrificação anita garibaldi - cergal,515.95,2559.8,,
Cooperativa  de eletrificação sul catarinense - cersul,104.97,28.5,,
Cooperativa  de energia treviso,57.8,19.31,,
Cooperativa  de prestação de serviços públicos de distribuição de energia elétrica senador esteves júnior  - cerej,37.7,11.97,,
Cooperativa aliança - cooperaliança,338.22,96.68,,
Cooperativa de distribuição de energia teutônia,1125.25,177.56,,
Cooperativa regional sul de eletrificação rural  - coorsel,299.93,113.91,,
Cooperativa de eletricidade de paulo lopes  - cerpalo,180.55,62.849999999999994,,
Cooperluz - cooperativa distribuidora de energia fronteira noroeste,199.27,70.75,,
Coopermila,51.51,39.25,,
Copel,23878.35,10079.04,,
Copel distribuição s.a,3740.35,606.86,,
Copel distribuição s.a.,164104.6,67306.77,,
Coprel cooperativa de energia,1265.67,491.22,,
Cosern,15601.369999999999,3920.08,,
Cosern - companhia energetica do rio grande do norte,4947.75,1413.49,,
Cosern - companhia energética do rio grande do norte,8275.64,2929.48,,
Cpfl jaguari,727.3,349.03000000000003,,
Cpfl leste paulista,144.82,34.41,,
Cpfl mococa,86.44999999999999,57.97,,
Cpfl sul paulista,127.9,98.82,,
Creluz cooperativa de distribuição de energia,84.07,45.0,,
Creral - cooperativa regional de eletrificação rural do alto uruguai,61.19,21.69,,
Caiuá distribuição de energia s/a,5613.300000000001,2091.87,,
Celesc dsitribuição s.a,27.54,42.15,,
Celg distribuicao sa,2710.79,276.34,,
Celg distribuição s/a,31392.48,12218.61,,
Celg distribuição sa,10656.5,2985.83,,
Centrais elétricas matogrossenses s.a,13955.77,3568.52,,
Centrais elétricas matogrossenses s.a.  cemat,5036.0,1076.0,,
Centrais elétricas matogrossenses s/a,2481.91,783.17,,
Centrais elétricas do pará s.a.,402.45,45.94,,
Certel energia,298.0,158.0,,
Cia estadual de distribuição de energia eletrica,13723.12,3715.46,,
Cia hidroeletrica sao patricio,0.0,0.0,,
Companhia energetica da borborema,1826.0,637.02,,
Companhia energetica do rio grande do norte,209.51999999999998,45.54,,
Companhia energética do ceará,294.01,94.32,,
Companhia energética do piaui,113.35,34.52,,
Companhia energética do rio grande do norte - cosern,1172.49,431.71,,
Companhia luz e forca santa cruz,1382.27,353.90000000000003,,
Companhia luz e forca de mococa,457.34000000000003,54.79,,
Companhia luz e força mococa,513.34,320.61,,
Companhia piratininga de força e luz,54468.3,24079.559999999998,,
Companhia paulista de energia elétrica,2541.59,1194.7,,
Companhia paulista de energia elétrica - leste,225.54,82.0,,
Companhia sul sergipana de eletricidade - sulgipe,689.39,267.57,,
Companhia de eletricidade da coelba,1642.5,900.0,,
Companhia de eletricidade do estado da bahia- coelba,7461.219999999999,1881.24,,
Companhia de eletricidade do acre,4267.58,955.5,,
Coop elet e distrib da região de itariri,13.42,4.02,,
Coop eletrif rural de itaí-paranapanema-avaré,228.60000000000002,91.25999999999999,,
Coop eletrif e desen da região de mogi das cruzes,76.74,56.5,,
Coop eletrif e desenvolvim da região de s. j. r. p ltda,85.96,38.1,,
Coop eletrif e telefonias ruarais de ibizna,439.02,132.53,,
Coop eletrif e telefonias ruarais de ibiúna,178.12,107.8,,
Cooper elet des região de itu mairinque,35.76,10.52,,
Cooperativa distribuidora de energia fronteira noroeste ltda,72.99,28.88,,
Cooperativa regional de energia taquari jacui,517.8100000000001,190.6,,
Cooperativa regional de energia e desenvolvimento ijui ltda  - ceriluz,324.55,114.58,,
Cooperativa regional de energia e desenvolvimento ijuí ltda-ceriluz distribuição,120.75,50.66,,
Cooperativa de distribuição de energia elétrica de arapoti,27.97,9.01,,
Cooperativa de eletricidade de paulo lopes,88.23,24.52,,
Cooperativa de eletrificação rural itu-mairinque,67.54,31.62,,
Cooperativa de eletrificação rural da região de promissão,50.81,27.88,,
Cooperativa de eletrificação rural de resende,47.28,8.45,,
Cooperativa de eletrificação da região de itapecerica da serra,85.01,37.04,,
Cooperativa de eletrificação da região do alto paraíba,89.42,39.89,,
Cooperativa de eletrificação de gravatal,105.05,77.95,,
Cooperativa de eletrificação de ibiúna e região,2395.27,813.14,,
Cooperativa de eletrificação de lauro muller,44.69,33.28,,
Cooperativa de eletrificação e desenvolvimento rural centro sul de sergipe ltda,47.339999999999996,22.53,,
Cooperativa de eletrificação e desenvolvimento rural da região de novo horizonte ltda,12.28,6.44,,
Copel distribuição s.a.,627.63,67.81,,
Coprel cooperativa de energia - coprel,1070.24,576.49,,
Creluz cooperativa de distribuição de energia,117.73,46.76,,
Distribuidora de energia sa - energisa paraíba,6076.48,2365.43,,
Dme distribuição s.a.,383.42,165.07,,
Dmed,596.74,215.1,,
Departamento municipal de energia e ijuí -demei,161.52,7.37,,
Distribuidora de energia sa - energisa paraíba,166.63,45.86,,
Distribuidora de energisa sa - energisa paraã­ba,106.87,24.4,,
Dpto.municipal energia poços de caldas,368.61,41.9,,
Edevp,1533.45,3215.52,,
Edp distribuição de energia são paulo s.a,784.29,286.53,,
Edp espirito santo distribuição de energia s/a,129.14,18.19,,
Edp sp,22569.79,12945.35,,
Edp são paulo distribuição de energia s/a.,143.56,16.28,,
Edp são paulo distribuição de energia s/aa,2494.16,424.99,,
Edpespiritosanto,8932.07,4338.87,,
Eeb,280.15999999999997,64.68,,
Elektro,29814.06,14352.779999999999,,
Elektro eletricidade e serviços s/a,3086.49,579.79,,
Eletrobras amazonas energia,4660.03,972.08,,
Eletropaulo metropolitana eletricidade de são paulo,7017.27,1684.03,,
Emg,14314.99,2781.65,,
Empresa de distribuição de energia vale paranapane,203.49,551.33,,
Empresa elétrica bragantina s/a,173.25,829.7,,
Empresa luz e força santa maria s/a,2565.14,288.01,,
Emt,3565.27,893.0500000000001,,
Enel,4040.23,1743.33,,
Enel distribuicao ceara,59545.58,10567.73,,
Enel distribuição ceara,1464.91,245.11,,
Enel distribuição rio,932.13,274.03,,
Enel distribuição ceará,1468.72,192.98000000000002,,
Energisa,2897.14,708.63,,
Energisa mato grosso - distribuidora de energia sa,328.41,284.49,,
Energisa mato grosso distribuição de energia s.a.,269.04,19.69,,
Energisa minas gerais,11039.62,5920.38,,
Energisa minas gerais distribuidora de energia s.a,2521.66,544.21,,
Energisa nova friburgo-distribuidora de energia sa,137.96,22.68,,
Energisa paraãba - distribuidora de energia s.a.,3515.05,1331.73,,
Energisa paraíba distribuidora de energia s.a,140.55,32.09,,
Energisa paraíba distribuidora de energia sa,265.55,60.63,,
Energisa sergipe - distribuidora de energia s/a,470.04,190.85999999999999,,
Energisa sergipe distribuidora de energia sa,463.46000000000004,9.14,,
Energisa sergipe distribuidora de energisa s/a,23998.27,5457.88,,
Energisa sul-sudeste distribuidora de energia s/a,3724.0699999999997,3192.8700000000003,,
Energisa tocantins distriuidora de energia as,1812.0,461.78,,
Energisa tocantis distribuidora de energia,724.11,93.98,,
Enersul,569.87,129.08,,
Escelsa,16015.57,8900.16,,
Ese,18067.65,7577.97,,
Ess,694.94,222.46,,
Elektro - eletricidade e servicos s/a,4670.25,701.2199999999999,,
Elektro eletriciade e serviços s/a.,2070.13,410.01,,
Elektro eletricidade e serviços s/a,1862.54,255.41,,
Eletrobrás distribuição do piauí,17418.95,4169.66,,
Eletropaulo metropolitana eletriciade  são paulo,8174.0,2791.0,,
Eletropaulo metropolitana eletricidade são paulo s.a.,31463.0,10662.0,,
Emp força e luz joão cesa ltda,47.53,16.16,,
Empr. de distr. de energ. vale paranapanema s/a,0.87,836.16,,
Empresa eletrica bragantina,946.97,11.1,,
Empresa elétrica bragantina,123.81,15.25,,
Empresa elétrica bragantina s/a,1755.4,1311.48,,
Empresa energética de mato grosso do sul s.a.,31695.38,7834.84,,
Empresa força e luz joão cesa ltda - efljc,36.88,17.7,,
Empresa força e luz de urussanga ltda.,576.97,182.81,,
Empresa luz e força santa maria s/a.,1556.58,323.59,,
Empresa luz e força santa maria sa,932.95,510.72,,
Empresa de dist. de energia vale paranapanema s/a,37.17,2.78,,
Empresa de distr. de energia vale paranapanema s/a,2543.53,479.13,,
Enel distribuição ceara,70.52,33.12,,
Enel distribuição ceará,12338.630000000001,3574.5600000000004,,
Enel distribuição rio,20615.59,4423.68,,
Energisa,13101.49,3259.8,,
Energisa - caiuá distribuição de energia s/a,86.78,17.55,,
Energisa - energisa sul-sudeste distribuidora de energia s/a,220.57999999999998,20.56,,
Energisa borborema,3360.3500000000004,1011.88,,
Energisa borborema - distribuidora de energia s.a.,454.43,174.9,,
Energisa mato grosso do sul - distribuídora de energia s.a.,31.07,8.25,,
Energisa minas gerais - distribuidora de energia,76.38,19.38,,
Energisa minas gerais - distribuidora de energia a,312.21,149.95999999999998,,
Energisa minas gerais distribuidora de energia s/a,3.2,7.79,,
Energisa minas gerais distribuidora de energia sa,1926.53,1201.24,,
Energisa minas geriais - distrib. de energia s/a,820.44,287.68,,
Energisa nova friburgo distrib. de energia s/a,174.1,57.24,,
Energisa paraiba,7145.21,2178.4100000000003,,
Energisa paraiba distribuidora de energia sa,26.27,2.81,,
Energisa paraíba - distribuidora de energia s.a.,2165.5,715.6,,
Energisa sergipe - distribuidora de energia s/a,526.6800000000001,171.26,,
Energisa sul sudeste,179.0,31.04,,
Energisa sul-sudeste distribuidora de energia s/a,1004.6999999999999,179.94,,
Energisa sul-sudeste distribuidora de energisa s.a.,147.85,31.65,,
Energisa sul-sudeste distribuição de energia s.a,409.43,94.53,,
Energisa ul-sdeste distribuidora de energia s.a.,72.0,33.0,,
Energisasul-sudeste distribuição de energia s.a.,390.4,90.13,,
Hidroelétrica panambi s.a,847.64,303.85,,
Iguaçu distribuidora de energia elétrica ltda,79.64,41.89,,
Iguaçu distribuidora de energia elétrica ltda,118.85,32.72,,
Light,1035.57,129.42,,
Light serviços de eletricidade s.a,7216.99,1435.6,,
Muxfeldt marin & cia. ltda,111.69,38.04,,
Muxfeldt marin e cia. ltda,398.9,145.37,,
Rge,453.11,61.22,,
Rge sul,28840.14,6744.55,,
Rio grande energia s.a,88393.87,29292.48,,
Rio grande energia s.a.,1538.81,326.35,,
S.a de eletrificacao da paraiba,6981.32,2332.94,,
Sulgipe,3208.2,1231.85,,
Uhenpal,157.27,22.62,,
Usina hidro eletrica nova palma ltda,130.01,43.09,,
Usina hidro eletrica nova palma ltda.,273.63,138.48,,
